Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"08-Jan-12","dumbbell bench press","1","45 lb","10",""
"08-Jan-12","dumbbell bench press","2","50 lb","7",""
"08-Jan-12","dumbbell bench press","3","50 lb","4",""
"08-Jan-12","machine shoulder press","1","50 lb","10",""
"08-Jan-12","machine shoulder press","2","50 lb","10",""
"08-Jan-12","machine shoulder press","3","50 lb","7",""
"08-Jan-12","ab crunch on a ball","1","0 lb","18",""
"08-Jan-12","ab crunch on a ball","2","0 lb","16",""
"08-Jan-12","ab crunch on a ball","3","0 lb","16",""
"08-Jan-12","cable side lateral raise","1","12.5 lb","8",""
"08-Jan-12","cable side lateral raise","2","10 lb","8",""
"08-Jan-12","cable side lateral raise","3","10 lb","8",""
"08-Jan-12","dumbbell shoulder press","1","20 lb","10",""
"08-Jan-12","dumbbell shoulder press","2","20 lb","8",""
"08-Jan-12","dumbbell shoulder press","3","20 lb","8",""
"08-Jan-12","dumbbell shoulder press","4","20 lb","8",""
"08-Jan-12","lat pulldown","1","70 lb","12",""
"08-Jan-12","lat pulldown","2","80 lb","12",""
"08-Jan-12","lat pulldown","3","80 lb","12",""

"10-Jan-12","unilateral high cable fly","1","15 lb","10",""
"10-Jan-12","unilateral high cable fly","2","15 lb","10",""
"10-Jan-12","unilateral high cable fly","3","15 lb","10",""
"10-Jan-12","machine shoulder press","1","50 lb","12",""
"10-Jan-12","machine shoulder press","2","50 lb","12",""
"10-Jan-12","machine shoulder press","3","50 lb","9",""
"10-Jan-12","machine chest press","1","60 lb","12",""
"10-Jan-12","machine chest press","2","80 lb","10",""
"10-Jan-12","machine chest press","3","80 lb","10",""
"10-Jan-12","lat pulldown","1","80 lb","10",""
"10-Jan-12","lat pulldown","2","80 lb","10",""
"10-Jan-12","lat pulldown","3","80 lb","10",""
"10-Jan-12","cable front raise","1","7.5 lb","10",""
"10-Jan-12","cable front raise","2","7.5 lb","10",""
